Sample in Buffer	Sample in Window	/vad	/DP_main/scr_o<0>	/DP_main/scr_o<1>	/DP_main/scr_o<2>	/DP_main/scr_o<3>	/DP_main/scr_o<4>	/DP_main/scr_o<5>	/DP_main/scr_o<6>	/DP_main/scr_o<7>	/DP_main/scr_o<8>	/DP_main/scr_o<9>	/DP_main/scr_o<10>	/DP_main/scr_o<11>	/DP_main/scr_o<12>	/DP_main/scr_o<13>	/DP_main/scr_o<14>	/DP_main/scr_o<15>	/DP_main/scr_o<16>	/DP_main/scr_o<17>	/DP_main/scr_o<18>	/DP_main/scr_o<19>	/DP_main/scr_o<20>	/DP_main/scr_o<21>	/DP_main/scr_o<22>	/DP_main/scr_o<23>	/DP_main/len_o<0>	/DP_main/len_o<1>	/DP_main/len_o<2>	/DP_main/len_o<3>	/DP_main/len_o<4>	/DP_main/len_o<5>	/DP_main/len_o<6>	/DP_main/len_o	/DP_main/scr_o
102	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	092AE7	
103	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	093BB3	
104	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	091AFF	
105	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	091EFF	
106	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	07BAFF	
107	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	07BEEF	
108	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	07BEEB	
109	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	07DEF3	
110	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	07DFF1	
111	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	07BF33	
112	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	07F6F3	
113	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06FBFB	
114	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06FFFF	
115	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06FEFF	
116	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	07DFEB	
117	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06FEEB	
118	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06FDEB	
119	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06E7EF	
120	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	0696E2	
121	0	1	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	069EE6	
122	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06BBBA	
123	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	06BBBA	
124	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	069B3D	
125	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	0697BD	
126	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	0696FB	
127	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	3A	069FFB	
128	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	3B	069EFD	
129	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	3C	06BEE9	
130	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	3C	06BFFB	
131	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	3F	06FBF7	
132	0	1	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	3B	06F2B8	
133	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	3B	06DEBB	
134	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	3B	06FEBF	
135	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	095EF3	
136	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	097FFB	
137	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	097EFB	
138	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	3A	095EFB	
